CFU;Tipo;Concepto;Contexto
as;palabra simple;experto, -a;Si no eres un as del diseño, no hagas alardes creativos al montar la plantilla.
ancla;palabra simple;apoyo;A veces una o varias de estas parejas sirven de ancla para la venida de personas solas, mujeres con hijos, parientes que prueban suerte, etc.
ángel;palabra simple;buena persona;Volvería a verla como de verdad era: dulce, calmada, confiable, un ángel.
faro;palabra simple;guía;Nunca hubiera imaginado estar en este sitio, en este lugar donde está la mayoría de editores que respeto y que han sido un faro en mi trabajo.
manchar;palabra simple;desprestigiar;¿Por qué manchaste el buen nombre de tu madre?
florecer;palabra simple;prosperar;Algunos países de Asia tienen mayor número relativo de servidores de comercio electrónico que otros europeos, por lo que también florecen mejor en ellos los infomediarios.
pan;palabra simple;sustento;Trabajaba como albañil y llevaba el pan a su hogar; lamentablemente, una lesión provocada en el trabajo le lastimó seriamente la columna, lo cual le impide salir a trabajar.
paseo;palabra simple;fácil de hacer;Por eso el aprendizaje no es un paseo, ni tan siquiera una actividad divertida.
camaleón;palabra simple;persona con un comportamiento inconsistente;Saben muy bien que es un hombre sin principios, un camaleón político.
gallina;palabra simple;cobarde;Javier tiene que ir al dentista porque le duele mucho una muela, pero no quiere ir porque es un gallina.
nublar;palabra simple;confundir;El solo hecho de pensar en lo que podría haber pasado me nubló la mente y no me pude controlar.
payaso, -a;palabra simple;idiota;No tenía maldita idea de lo que podía estar haciendo aquel excéntrico payaso, aparte de arruinar su carrera.
cruz;palabra simple;sufrimiento moral;Qué cruz es tener un hijo adolescente.
cacarear;palabra simple;presumir;La amplia lista de derrotas inglesas cuestiona también la cacareada superioridad de la flota británica.
dinosaurio, -a;palabra simple;anticuado, -a;Mi mujer es una dinosauria de otro tiempo.
ahogar;palabra simple;agobiar;Tiene un piso nuevo en Madrid y quiere deshacerse del viejo para no verse ahogada por la hipoteca.
alimentar;palabra simple;estimular;Si no se alimenta la propia industria perderemos puestos de trabajo y clientes para nuestros productos.
montaña;palabra simple;gran cantidad;Una montaña de notas informativas soterró su mesa de trabajo.
cerdo, -a;palabra simple;asqueroso, -a;Su cliente es un cerdo asqueroso y se merece lo que sea que puedan hacer los otros con la información que ella consiga.
turbio, -a;palabra simple;deshonesto, -a;A sus turbios trabajos de delator deben añadirse los de traficante, estafador y ladrón profesional.
borrego, -a;palabra simple;influenciable;Quien repite las cosas que dicen los demás sin pararse a pensar en lo que dice es un borrego.
cargar;palabra simple;aceptar la responsabilidad por/de;Cometiste un error en el trabajo y dejaste que otro cargara con la culpa.
serpenteante;palabra simple;curvilíneo, -a;El colegio de San Gabriel se alzaba en el centro de una arboleda a lo alto de una calle angosta y serpenteante.
desatar;palabra simple;causar;Esta semana, la revista recoge un trabajo que puede desatar cierta controversia entre los especialistas sanitarios.
espinoso, -a;palabra simple;controvertido, -a;Una amiga mía, Ana, me explicaba un día un diálogo que tuvo en su trabajo sobre el espinoso tema de los maltratadores machistas.
pelota;palabra simple;adulador, -a;Decir que ha llegado a lo más alto por ser un pelota sería injusto.
víbora;palabra simple;malintencionado, -a;Esa víbora es capaz de denunciarme y dejarme sin trabajo, aunque con ello se perjudicara.
buitre;palabra simple;aprovechado, -a;Hay mucho técnico buitre que está esperando a que destituyan a un colega para ocupar su cargo.
tejer;palabra simple;idear;La prensa también ha especulado con que ambos países tejieron un plan conjunto para acabar con la vida del terrorista.
marchitarse;palabra simple;decaer;Mi locuacidad se fue marchitando ante la expresión de total desconcierto del médico.
talón de Aquiles;modismo;debilidad;El talón de Aquiles del trabajo, según reconoce Slon, es que por el momento solo se ha buscado ADN mitocondrial.
todo, -a oídos;modismo;atento, -a;Finjo interés, asiento, soy todo oídos para ella.
a puerta cerrada;modismo;en privado;Las conversaciones se celebrarán a puerta cerrada y las listas con los participantes se darán a conocer «cuando hayan llegado todos».
enterrar el hacha de guerra;modismo;dejar de pelearse o discutir;Propone organizar una reunión presencial y discreta con el ánimo de enterrar el hacha de guerra para siempre. 
mariposas en el estómago;modismo;nervios;Después de muchos años metido en el backstage, de camino al primer desfile de la temporada aún tengo mariposas en el estómago y me siento muy emocionado.
por los pelos;modismo;por poco;En aquella ocasión me libré por los pelos, pero no así a la siguiente.
helar la sangre;modismo;horrorizar;Sus rostros comenzaron a tomar una extraña expresión de terror y angustia que me heló la sangre.
subirse por las paredes;modismo;estar agitado, -a;Lo primero que pensé es que mis jefes en la radio se debían estar subiendo por las paredes al enterarse por la prensa de que me iba.
sacar de sus casillas;modismo;irritar;Cualquier ruido la sacaba de sus casillas, se volvió una maniática de la limpieza y se pasaba las horas bebiendo.
poner manos a la obra;modismo;empezar;El asunto es grave, y si no nos ponemos manos a la obra a la mayor brevedad posible peligra nuestra posición.
sacar la cara por;modismo;apoyar;El lateral gallego sacó la cara por sus compañeros y mostró su incomprensión por la situación.
perder los estribos;modismo;enfadarse;Se esforzaba por mantenerse sereno y lo había conseguido hasta el momento en que la vio entrar por la puerta de la habitación, pero en cuanto la tuvo enfrente perdió los estribos.
dar en el clavo;modismo;acertar;No digo que sea una auténtica maravilla ni una joya, pero da en el clavo perfectamente con lo que requiere este tipo de novelas.
parar el carro;modismo;esperar;Para el carro, Fernando, que me estás agobiando.
estirar la pata;modismo;morir;Amo la vida, pero soy consciente de que un día estos estiraré la pata.
en el séptimo cielo;modismo;muy feliz;El hecho de que sea una niña es sorprendente pero, lógicamente, estamos en el séptimo cielo.
en la misma onda;modismo;de acuerdo;Teníamos una relación muy íntima y estábamos en la misma onda. 
de uvas a peras;modismo;rara vez;Vienen de uvas a peras un segundo a pedirme dinero y se van.
pan comido;modismo;fácil;Tú eres tan competente que lo que a otros les resulta imposible para ti será pan comido...
tomar el pelo;modismo;burlarse;No sabía si hablaba en serio o me estaba tomando el pelo.
darle a la lengua;modismo;charlar;Nos salimos del coche, yo sin pronunciar palabra, ella dale que dale a la lengua.
levantar la liebre;modismo;desvelar un secreto;Debería andarse con mucho ojo para no levantar la liebre, aunque era difícil que nadie sospechara nada ni cercano a la realidad.
arrojar el guante;modismo;desafiar;Lanza el guante a los estudiosos occidentales y eurocéntricos, pidiéndoles que presten más atención a las tradiciones astronómicas no europeas.
tirar la toalla;modismo;rendirse;No podemos dudar, no podemos tirar la toalla porque no se firme este o aquel acuerdo.
bajo mano;modismo;en secreto;Él y la abogada Carmona tenían sospechas de cobros bajo mano de algunos miembros de la formación, así como de sobresueldos de unos 1000 euros.
en un jardín;modismo;en problemas;Siempre que hablo de esto me meto en un jardín, pero tengo una postura muy clara.
en el aire;modismo;sin decidir;Es necesario, pues, que fijemos todos los puntos, nada debe quedar en el aire.
andar con pies de plomo;modismo;tener cuidado;Mi madre anduvo con pies de plomo en los primeros pasos de su noviazgo con mi padre.
cuando las ranas críen pelo;modismo;nunca;TLC sigue preparando su nuevo disco, que puede que llegue cuando las ranas críen pelo.
con la cabeza alta;modismo;con orgullo;Los miraba con abierta sonrisa, la cabeza alta y signos de haberles ganado.
parecerse como dos gotas de agua;símil;idénticos, -as;Los hijos a menudo se parecen como dos gotas de agua al progenitor ausente del hogar, para desgracia del que tiene la custodia.
huir como de la peste;símil;evitar;La gente huye como de la peste de la tristeza ajena.
calvo, -a como una bola de billar;símil;calvo, -a;El padre de mi madre era calvo como una bola de billar, y también sus seis hermanos.
más listo, -a que el hambre;símil;inteligente;Doña Amparo era una mujer gruesa, limpia y analfabeta pero más lista que el hambre.
sordo, -a como una tapia;símil;sordo, -a;El compositor estaba ya sordo como una tapia por estas fechas, de manera que la ayuda que le pudo prestar al director fue escasa.
beber como un cosaco, -a;símil;beber mucho alcohol;Una noche tomó impulso, en una fiesta, y para atreverse bebió como un cosaco, pero ella desapareció.
comer como una lima;símil;comer mucho;Está muy delgadita, pero come como una lima.
sentar como un guante;símil;quedar perfectamente;Bárbara llevaba un vestido verde que le sentaba como un guante.
libre como el viento;símil;libre;Somos rotundamente libres como el viento y nos negamos rotundamente a dejar de ser nosotras.
fresco, -a como una lechuga;símil;descansado, -a;En aquel preciso instante entró el comisario en la estancia, sonriente, fresco como una lechuga, como si se hubiese acabado de levantar de la cama
más feliz que una perdiz;símil;feliz;Me puedo pasar cuatro semanas sin ver a nadie más feliz que una perdiz.
conocer como la palma de la mano;símil;conocer bien;Conozco la vida de París como la palma de mi mano. 
loco, -a como una cabra;símil;loco, -a;Llamaron a la puerta de su casa y al abrir se encontró con el vecino de abajo, que estaba loco como una cabra.
limpio, -a como una patena;símil;limpio, -a;Su coche era grande y potente; él mismo, meticuloso en todo, lo mantenía limpio como una patena.
más viejo, -a que la tos;símil;viejo, -a;Los anglicismos no son nada nuevo: los penaltis y los córners son más viejos que la tos, por poner un ejemplo.
más claro que el agua;símil;obvio;Ellos buscan seguir llegando a la última carrera con el título por decidir, está más claro que el agua.
pobre como una rata;símil;pobre;Sus libros empezaban a darle dinero, pero durante los últimos veinte años había sido más pobre que una rata.
correr como el viento;símil;correr rápido;El alero de los Lakers es grande, fuerte y corre como el viento.
venderse como churros;símil;venderse rápido;En dos semanas las cazadoras estaban en las tiendas y se vendieron como churros.
temblar como un flan;símil;temblar mucho;Lo acompaño hasta la puerta, me despido y entonces empiezo a temblar como un flan.
cantar como los ángles;símil;cantar bien;Alguien que compone sus canciones, toca la guitarra, el piano, el acordeón y encima canta como los ángeles sin necesidad de que le retoquen la voz merece todo mi respeto.
dormir como un tronco;símil;dormir profundamente;La pequeña llegó a su casa rendida y se durmió como un tronco.
astuto, -a como un zorro;símil;astuto, -a;Frente a él se había sentado Lucas, siempre despistado pero astuto como un zorro.
fumar como un carretero, -a;símil;fumar mucho;Fumaba como un carretero, a juzgar por el número de colillas depositadas en el cenicero.
correr como la pólvora;símil;difundirse rápido;La noticia del cese de actividades armadas corre como la pólvora por los patios de las cárceles.
fuerte como un roble;símil;fuerte;Pese a su palidez y su frágil apariencia, tiene la salud de un hombre veinticinco años menor, es fuerte como un roble.
terco, -a como una mula;símil;obstinado, -a;Sofía es una mujer muy caprichosa y es terca como una mula.
sudar como un pollo;símil;sudar mucho;El termómetro marcaba 42 grados centígrados y la novia sudaba como un pollo.
tratar como a un perro;símil;tratar mal;Recordaba el frío de Teruel, cuando cayó prisionero, fue herido en la pierna y tratado como un perro.
trabajar como un condenado, -a;símil;trabajar mucho;Ya habían sido suficientes tantos momentos de vida mediocre, trabajando como un condenado con pocas satisfacciones al servicio del Gobierno.
Después de la tempestad viene la calma;proverbio;Las cosas suelen mejorar tras un periodo de dificultad;Esos días lúgubres nos producen tristeza, pero después de la tempestad viene la calma.
No es oro todo lo que reluce;proverbio;No todo lo que parece bueno lo es en realidad;Un análisis más cuidadoso de los datos muestra que no es oro todo lo que reluce.
Todos los caminos conducen a Roma;proverbio;Hay distintas maneras de conseguir el mismo resultado;Puedes obtener resultados similares de diversas maneras, e incluso debe haber casos en que todos los caminos conduzcan a Roma, aunque en apariencia hayan partido en direcciones opuestas.
A buen hambre no hay pan duro;proverbio;Cuando hay necesidad se acepta todo;Por suerte o desgracia, Faith nunca tuvo oportunidad de decir esto no me gusta, pues a buen hambre no hay pan duro.
Es mejor ser cabeza de ratón que cola de león;proverbio;Es mejor ser una parte importante de algo modesto que ser una parte pequeña de algo grande;El futbolista ha vuelto a tener ofertas de equipos mejores, pero sabe de la importancia que tienen el entorno y la estabilidad en su rendimiento, y que a veces es mejor ser cabeza de ratón que cola de león.
Más vale pájaro en mano que ciento volando;proverbio;Es mejor tener algo seguro que tener la posibilidad de conseguir algo mejor;Hoy la mayoría prefiere aplicar al trabajo aquello de más vale pájaro en mano que ciento volando, lo cual es fácilmente entendible dado el contexto actual.
Dios los cría y ellos se juntan;proverbio;Las personas parecidas tienden a asociarse;Todos los que se le acercan, por aquello de que Dios los cría y ellos se juntan, son engendros.
De aquellos polvos, estos lodos;proverbio;Los actos tienen consecuencias;De aquellos polvos vienen estos lodos: los altos costos provocados por el desmantelamiento de las regulaciones cambiarias.
El hábito no hace al monje;proverbio;No se debe juzgar a las personas por su apariencia;El hábito no hace al monje... pero sí dice mucho de quién es.
Zapatero, a tus zapatos;proverbio;No hay que ocuparse de asuntos que no se conocen o de los que no se sabe;Si no tienes muchos conocimientos, lo mejor es aplicar lo de zapatero, a tus zapatos y dedicarte a las partes de tu empresa que sí dominas a la perfección.
La curiosidad mató al gato;proverbio;La curiosidad indebida es peligrosa;Pero no se puede ser tan curiosona, ya sabes que la curiosidad mató al gato.
No vendas la piel del oso antes de cazarlo;proverbio;No se debe dar nada por hecho hasta que sea seguro;El ministro de Trabajo e Inmigración ha recomendado a Laporta que no venda la piel del oso antes de haberlo cazado, ya que para gobernar antes hay que ganar las elecciones.
A caballo regalado, no le mires el dentado;proverbio;Hay que agradecer lo que se nos da;Un cliente me dio un par de invitaciones y pensé lo de siempre: a caballo regalado, no le mires el dentado.
A quien madruga, Dios le ayuda;proverbio;Para tener éxito hay que ser proactivo;Quería llegar a la biblioteca cuanto antes: a quien madruga, Dios le ayuda. 
La experiencia es la madre de la ciencia;proverbio;Experimentando es como mejor se aprende;La premisa de que la experiencia es la madre de la ciencia no es sólo válida en el campo de la medicina, sino que también se aplica a muchas otras profesiones.
Ojo por ojo, diente por diente;proverbio;La mejor manera de responder a una ofensa o delito es causar el mismo daño;El Supremo estatal considera que en las deliberaciones los 12 miembros del jurado no debieron usar razonamientos como 'ojo por ojo, diente por diente'.
A falta de pan, buenas son tortas;proverbio;Conseguir menos de lo que se quería sigue siendo mejor que no conseguir nada;A falta de pan, buenas son tortas: seguimos viajando aunque sea desde casa.
A perro flaco todo son pulgas;proverbio;Los eventos desafortunados ocurren en cantidad;Como al perro flaco todo son pulgas, a la crisis del equipo económico del Gobierno se suma ahora una crisis política.
Genio y figura hasta la sepultura;proverbio;No se puede cambiar como se es;Su rostro adoptó una expresión pícara al razonar para sí mismo, aunque en voz alta, que genio y figura hasta la sepultura, que a Camila no la cambiaría ni un terremoto.
Se pilla antes a un mentiroso que a un cojo;proverbio;Siempre se acaba por descubir la verdad;Como decían mis padres antes, se pilla antes a un mentiroso que a un cojo, o se te ve directamente. 
Quien a hierro mata, a hierro muere;proverbio;Quien daña a otra persona suele salir dañado de la misma manera;Quiero que sepas que quien a hierro mata, a hierro muere y él, por acaso, me ha prometido venganza.
Gato escaldado del agua fría huye;proverbio;Las malas experiencias vuelven precavida a la gente;Pero el pueblo asiste a todo desconfiado y sin mucha fe en que los objetivos sean conseguidos. Primero, porque gato escaldado, del agua fría huye, y éste es el noveno plan contra la inflación puesto en práctica -sin ningún resultado duradero- en los últimos años.
La venganza es un plato que se sirve frío;proverbio;La venganza es más efectiva cuando se ha tenido tiempo para planearla;Katy no olvida a las personas que la hicieron sentir mal, y piensa que la venganza es un plato que se sirve frío.
No se ganó Zamora en una hora;proverbio;Las tareas complejas llevan tiempo y esfuerzo;Lo que debes tener es paciencia, repito, no se ganó Zamora en una hora.
En casa de herrero, cuchillo de palo;proverbio;Los expertos no se aplican sus habilidades a sí mismos o a las personas cercanas a ellos;Precisamente en las zonas de origen de esta dieta es donde la población se está alejando de ella, haciendo cierto el refrán de que en casa del herrero, cuchillo de palo.
En boca cerrada no entran moscas;proverbio;Es mejor no hablar que decir algo inoportuno;Le desagrada eso de no hablar con nadie, pero sabe que en boca cerrada no entran moscas.
Toda rosa tiene espinas;proverbio;Todo lo bueno tiene algún aspecto negativo;Toda rosa tiene espinas, pero casi siempre la realidad tiene que ver mucho más con cómo se afronta que con cómo es en sí misma.
Cuando el río suena, agua lleva;proverbio;Los rumores siempre tienen algo de verdad;Los chismes pueden causar mucho daño en la política, porque la gente cree que cuando el río suena, agua lleva.
El tiempo es oro;proverbio;El tiempo es valioso y no se debe perder;El tiempo es oro en el tratamiento del infarto.
Cuando una puerta se cierra, otra se abre;proverbio;Cuando se pierde una oportunidad, surge pronto una nueva;Recuerda que cuando una puerta se cierra, otra se abre, así que deja de mirar la puerta cerrada.

